Date : 2023-04-09 17:37:31
Directory : c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src
Total : 109 files,  6334 codes, 206 comments, 789 blanks, all 7329 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        107 |      6,250 |        205 |        776 |      7,231 |
| PostCSS    |          1 |         67 |          1 |         12 |         80 |
| XML        |          1 |         17 |          0 |          1 |         18 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        109 |      6,334 |        206 |        789 |      7,329 |
| . (Files)                                                                                                                 |          3 |        185 |          1 |         27 |        213 |
| Assets                                                                                                                    |          1 |         17 |          0 |          1 |         18 |
| Components                                                                                                                |         95 |      5,461 |        172 |        657 |      6,290 |
| Components (Files)                                                                                                        |          2 |        204 |          9 |         24 |        237 |
| Components\AuthComponents                                                                                                 |         11 |        986 |          7 |        106 |      1,099 |
| Components\Icons                                                                                                          |         38 |      1,160 |          0 |         77 |      1,237 |
| Components\InfoContainer                                                                                                  |          4 |        283 |          1 |         33 |        317 |
| Components\MessageContainer                                                                                               |         13 |        854 |         77 |        129 |      1,060 |
| Components\SideBar                                                                                                        |         27 |      1,974 |         78 |        288 |      2,340 |
| Services                                                                                                                  |         10 |        671 |         33 |        104 |        808 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\App.js                                            | JavaScript |        107 |          0 |         13 |        120 |
| c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Assets\Logo.svg                                   | XML        |         17 |          0 |          1 |         18 |
| c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\EmailVerification.js    | JavaScript |         52 |          0 |          6 |         58 |
